iter	Passed	Remaining
0	138	138508
1	139	69453
2	139	46467
3	140	34973
4	141	28060
5	142	23606
6	144	20451
7	145	18082
8	146	16166
9	147	14586
10	147	13299
11	148	12232
12	149	11321
13	151	10645
14	151	9960
15	152	9359
16	152	8832
17	153	8362
18	153	7943
19	154	7569
20	154	7225
21	155	6917
22	156	6665
23	158	6434
24	159	6231
25	161	6036
26	162	5843
27	162	5651
28	163	5470
29	163	5300
30	164	5141
31	165	4993
32	165	4853
33	166	4723
34	166	4599
35	167	4482
36	167	4371
37	168	4266
38	169	4168
39	169	4073
40	170	3984
41	171	3900
42	171	3817
43	172	3740
44	172	3665
45	173	3593
46	173	3525
47	174	3462
48	175	3399
49	175	3338
50	176	3280
51	176	3224
52	177	3170
53	178	3118
54	178	3068
55	179	3021
56	179	2975
57	180	2929
58	181	2886
59	181	2847
60	182	2811
61	183	2774
62	184	2739
63	184	2701
64	185	2665
65	185	2630
66	186	2596
67	186	2560
68	187	2527
69	187	2496
70	188	2466
71	189	2436
72	189	2407
73	190	2379
74	190	2352
75	191	2325
76	191	2300
77	192	2274
78	193	2250
79	193	2226
80	194	2203
81	194	2180
82	195	2158
83	195	2136
84	196	2113
85	196	2093
86	197	2070
87	197	2050
88	198	2030
89	198	2011
90	199	1993
91	200	1976
92	201	1960
93	201	1942
94	202	1925
95	202	1908
96	203	1892
97	203	1877
98	204	1861
99	205	1846
100	205	1831
101	206	1813
102	206	1799
103	207	1785
104	207	1771
105	208	1757
106	209	1744
107	209	1731
108	210	1718
109	210	1705
110	211	1693
111	211	1680
112	212	1668
113	213	1656
114	213	1644
115	214	1632
116	214	1620
117	215	1609
118	215	1597
119	216	1587
120	217	1577
121	217	1567
122	218	1554
123	218	1544
124	219	1534
125	219	1524
126	220	1514
127	220	1504
128	221	1494
129	221	1485
130	222	1476
131	223	1467
132	223	1458
133	224	1449
134	224	1440
135	225	1432
136	226	1424
137	226	1414
138	227	1406
139	227	1398
140	228	1390
141	228	1382
142	229	1375
143	230	1367
144	230	1360
145	231	1352
146	231	1345
147	232	1337
148	232	1330
149	233	1323
150	234	1316
151	234	1309
152	235	1303
153	235	1296
154	236	1289
155	237	1283
156	237	1276
157	238	1270
158	238	1264
159	239	1258
160	240	1252
161	240	1245
162	241	1239
163	241	1233
164	242	1227
165	243	1220
166	243	1214
167	244	1209
168	244	1203
169	245	1198
170	246	1192
171	246	1187
172	247	1181
173	247	1176
174	248	1170
175	248	1165
176	249	1160
177	250	1154
178	250	1149
179	251	1144
180	251	1138
181	252	1133
182	252	1128
183	253	1123
184	253	1118
185	254	1113
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1090
191	257	1085
192	258	1080
193	259	1076
194	259	1072
195	260	1068
196	260	1063
197	261	1059
198	262	1055
199	262	1050
200	263	1046
201	263	1042
202	264	1038
203	264	1033
204	265	1029
205	266	1025
206	266	1021
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	270	997
213	270	994
214	271	990
215	271	986
216	272	982
217	272	978
218	273	974
219	273	970
220	274	967
221	274	963
222	275	960
223	276	956
224	276	952
225	277	949
226	277	946
227	278	942
228	278	938
229	279	935
230	279	932
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	912
237	284	909
238	284	906
239	285	903
240	285	900
241	286	897
242	287	894
243	287	891
244	288	888
245	288	885
246	289	882
247	289	879
248	290	876
249	291	873
250	291	870
251	292	867
252	292	864
253	293	861
254	294	859
255	294	856
256	295	853
257	295	850
258	296	847
259	296	844
260	297	842
261	297	839
262	298	836
263	299	834
264	299	831
265	300	828
266	300	826
267	301	823
268	302	821
269	302	818
270	303	815
271	303	813
272	304	810
273	304	808
274	305	805
275	306	803
276	306	800
277	307	798
278	308	796
279	308	793
280	309	791
281	309	789
282	310	786
283	311	784
284	311	782
285	312	779
286	313	777
287	313	775
288	314	772
289	314	770
290	315	768
291	316	766
292	316	764
293	317	761
294	317	759
295	318	757
296	319	755
297	319	753
298	320	750
299	320	748
300	321	746
301	322	744
302	322	742
303	323	740
304	324	738
305	324	736
306	325	734
307	325	732
308	326	730
309	327	728
310	327	725
311	328	723
312	328	721
313	329	719
314	330	717
315	330	715
316	331	713
317	331	711
318	332	709
319	333	707
320	333	705
321	334	703
322	334	701
323	335	699
324	336	697
325	336	696
326	337	694
327	338	692
328	338	690
329	339	688
330	339	686
331	340	685
332	341	683
333	341	681
334	342	679
335	342	677
336	343	675
337	344	674
338	344	672
339	345	670
340	346	668
341	346	666
342	347	665
343	347	663
344	348	661
345	349	659
346	349	657
347	350	656
348	350	654
349	351	652
350	352	651
351	352	649
352	353	647
353	353	645
354	354	644
355	355	642
356	355	640
357	356	638
358	356	637
359	357	635
360	358	633
361	358	631
362	359	630
363	359	628
364	360	626
365	360	625
366	361	623
367	362	621
368	362	620
369	363	618
370	363	616
371	364	615
372	365	613
373	365	612
374	366	610
375	367	609
376	367	607
377	368	605
378	368	604
379	369	602
380	370	601
381	370	599
382	371	598
383	371	596
384	372	595
385	373	593
386	373	591
387	374	590
388	374	588
389	375	587
390	376	586
391	376	584
392	377	583
393	378	581
394	378	579
395	379	578
396	379	576
397	380	575
398	381	574
399	381	572
400	382	571
401	383	569
402	383	568
403	384	567
404	385	565
405	385	564
406	386	562
407	386	561
408	387	560
409	388	558
410	388	557
411	389	555
412	390	554
413	390	552
414	391	551
415	391	550
416	392	548
417	393	547
418	393	546
419	394	544
420	395	543
421	395	542
422	396	540
423	397	539
424	397	538
425	398	536
426	398	535
427	399	534
428	400	532
429	400	531
430	401	529
431	401	528
432	402	527
433	403	525
434	403	524
435	404	523
436	404	521
437	405	520
438	406	519
439	406	517
440	407	516
441	408	515
442	408	513
443	409	512
444	409	511
445	410	510
446	411	508
447	411	507
448	412	506
449	413	504
450	413	503
451	414	502
452	414	501
453	415	499
454	416	498
455	416	497
456	417	495
457	418	494
458	418	493
459	419	492
460	419	491
461	420	489
462	421	488
463	421	487
464	422	486
465	423	484
466	423	483
467	424	482
468	425	481
469	425	479
470	426	478
471	426	477
472	427	476
473	428	475
474	428	473
475	429	472
476	430	471
477	430	470
478	431	469
479	431	467
480	432	466
481	433	465
482	433	464
483	434	463
484	435	461
485	435	460
486	436	459
487	437	458
488	437	457
489	438	456
490	438	455
491	439	453
492	440	452
493	440	451
494	441	450
495	442	449
496	442	448
497	443	446
498	444	445
499	444	444
500	445	443
501	445	442
502	446	441
503	447	439
504	447	438
505	448	437
506	448	436
507	449	435
508	449	433
509	450	432
510	451	431
511	451	430
512	452	429
513	453	428
514	453	427
515	454	426
516	454	424
517	455	423
518	456	422
519	456	421
520	457	420
521	457	419
522	458	418
523	459	417
524	459	415
525	460	414
526	460	413
527	461	412
528	462	411
529	462	410
530	463	409
531	463	408
532	464	406
533	465	405
534	465	404
535	466	403
536	467	402
537	467	401
538	468	400
539	469	399
540	469	398
541	470	397
542	470	396
543	471	395
544	472	394
545	472	393
546	473	392
547	474	391
548	474	389
549	475	388
550	475	387
551	476	386
552	477	385
553	477	384
554	478	383
555	479	382
556	479	381
557	480	380
558	481	379
559	481	378
560	482	377
561	482	376
562	483	375
563	484	374
564	484	373
565	485	372
566	485	371
567	486	370
568	487	369
569	487	367
570	488	366
571	489	365
572	489	364
573	490	363
574	490	362
575	491	361
576	492	360
577	492	359
578	493	358
579	493	357
580	494	356
581	495	355
582	495	354
583	496	353
584	497	352
585	497	351
586	498	350
587	498	349
588	499	348
589	500	347
590	500	346
591	501	345
592	501	344
593	502	343
594	503	342
595	503	341
596	504	340
597	504	339
598	505	338
599	506	337
600	506	336
601	507	335
602	507	334
603	508	333
604	509	332
605	509	331
606	510	330
607	510	329
608	511	328
609	512	327
610	512	326
611	513	325
612	513	324
613	514	323
614	515	322
615	515	321
616	516	320
617	516	319
618	517	318
619	517	317
620	518	316
621	519	315
622	519	314
623	520	313
624	520	312
625	521	311
626	521	310
627	522	309
628	523	308
629	523	307
630	524	306
631	524	305
632	525	304
633	526	303
634	526	302
635	527	301
636	528	300
637	528	299
638	529	298
639	529	298
640	530	297
641	531	296
642	531	295
643	532	294
644	532	293
645	533	292
646	534	291
647	534	290
648	535	289
649	535	288
650	536	287
651	537	286
652	537	285
653	538	284
654	538	283
655	539	282
656	540	282
657	540	281
658	541	280
659	542	279
660	542	278
661	543	277
662	543	276
663	544	275
664	545	274
665	545	273
666	546	272
667	547	271
668	547	271
669	548	270
670	549	269
671	549	268
672	550	267
673	550	266
674	551	265
675	552	264
676	552	263
677	553	262
678	554	261
679	554	261
680	555	260
681	555	259
682	556	258
683	557	257
684	557	256
685	558	255
686	559	254
687	559	253
688	560	252
689	560	251
690	561	251
691	562	250
692	562	249
693	563	248
694	563	247
695	564	246
696	565	245
697	565	244
698	566	243
699	566	242
700	567	242
701	567	241
702	568	240
703	569	239
704	569	238
705	570	237
706	570	236
707	571	235
708	571	234
709	572	233
710	573	232
